,Position,Edge,Path,Total
0,687,160,19,866
1,685,158,19,862
2,689,155,18,862
3,683,158,17,858
4,687,153,18,858
5,684,154,18,856
6,685,152,18,855
7,681,152,19,852
8,681,152,19,852
9,684,148,19,851
10,681,148,19,848
11,674,149,20,843
12,675,149,19,843
13,674,148,19,841
14,671,147,19,837
15,669,148,19,836
16,667,148,19,834
17,660,150,19,829
18,659,150,19,828
19,657,151,18,826
20,655,152,18,825
21,657,149,18,824
22,659,146,18,823
23,655,145,18,818
24,658,146,18,822
25,656,147,18,821
26,656,146,18,820
27,655,145,18,818
28,655,146,18,819
29,651,148,18,817
30,649,148,18,815
31,653,144,18,815
32,653,144,18,815
33,654,143,18,815
34,657,139,18,814
35,654,137,18,809
36,652,137,18,807
37,652,135,18,805
38,652,135,18,805
39,648,131,19,798
40,644,131,20,795
41,643,131,20,794
42,640,129,20,789
43,638,134,20,792
44,635,133,20,788
45,633,131,20,784
46,629,129,20,778
47,629,127,20,776
48,628,127,20,775
49,628,127,20,775
50,626,126,20,772
51,625,122,19,766
52,622,122,18,762
53,618,120,18,756
54,615,119,18,752
55,615,118,18,751
56,615,116,18,749
57,612,117,18,747
58,609,119,18,746
59,607,120,18,745
60,605,120,17,742
61,603,121,16,740
62,600,124,16,740
63,598,123,16,737
64,597,123,16,736
65,596,123,15,734
66,593,120,15,728
67,592,119,15,726
68,588,119,15,722
69,586,122,15,723
70,580,121,15,716
71,579,120,16,715
72,580,119,16,715
73,579,120,15,714
74,572,119,15,706
75,568,120,15,703
76,569,119,15,703
77,564,122,15,701
78,562,121,14,697
79,565,118,14,697
80,563,121,13,697
81,558,121,13,692
82,564,121,12,697
83,558,121,12,691
84,557,121,12,690
85,554,121,12,687
86,551,121,12,684
87,549,120,12,681
88,546,120,12,678
89,544,121,11,676
90,544,122,11,677
91,541,122,11,674
92,538,123,11,672
93,535,123,11,669
94,533,122,11,666
95,532,122,11,665
96,532,120,11,663
97,527,122,11,660
98,524,120,11,655
99,524,119,11,654
100,523,118,11,652
101,523,115,11,649
102,517,113,11,641
103,518,111,11,640
104,520,111,10,641
105,518,111,10,639
106,517,108,9,634
107,516,109,9,634
108,518,110,9,637
109,518,108,9,635
110,518,107,9,634
111,515,107,9,631
112,513,105,9,627
113,513,101,9,623
114,513,99,9,621
115,512,102,9,623
116,510,103,9,622
117,508,103,9,620
118,503,103,10,616
119,503,102,9,614
120,500,102,9,611
121,501,102,9,612
122,500,100,9,609
123,498,100,9,607
124,497,99,9,605
125,497,99,9,605
126,493,99,9,601
127,493,98,9,600
128,493,97,9,599
129,492,96,9,597
130,490,94,8,592
131,490,94,7,591
132,490,94,7,591
133,491,93,7,591
134,491,91,7,589
135,488,91,7,586
136,487,89,7,583
137,487,88,7,582
138,486,89,6,581
139,483,91,5,579
140,478,92,6,576
141,481,90,6,577
142,481,87,6,574
143,481,87,5,573
144,479,86,5,570
145,480,82,5,567
146,479,81,6,566
147,479,80,6,565
148,479,81,6,566
149,477,81,6,564
150,475,80,6,561
151,472,78,5,555
152,471,79,5,555
153,473,80,5,558
154,476,77,4,557
155,473,77,4,554
156,471,80,4,555
157,469,82,4,555
158,468,81,4,553
159,467,80,4,551
160,471,78,3,552
161,471,77,2,550
162,469,78,2,549
163,470,78,2,550
164,469,78,2,549
165,468,76,2,546
166,459,75,2,536
167,456,72,2,530
168,453,70,2,525
169,454,71,2,527
170,456,69,2,527
171,454,69,2,525
172,451,70,1,522
173,449,70,1,520
174,447,71,1,519
175,445,71,1,517
176,440,69,1,510
177,439,69,1,509
178,442,72,1,515
179,442,70,1,513
180,438,67,1,506
181,438,66,1,505
182,437,65,1,503
183,431,64,1,496
184,429,61,1,491
185,429,60,1,490
186,429,62,1,492
187,430,59,1,490
188,426,59,1,486
189,425,59,1,485
190,423,59,2,484
191,422,59,2,483
192,420,59,3,482
193,418,57,3,478
194,420,56,3,479
195,415,57,3,475
196,414,57,3,474
197,415,55,3,473
198,413,52,3,468
199,414,47,3,464
200,411,48,3,462
201,409,47,3,459
202,407,47,3,457
203,400,47,4,451
204,397,49,4,450
205,396,49,4,449
206,395,49,4,448
207,390,49,4,443
208,388,47,4,439
209,390,48,3,441
210,389,48,3,440
211,384,48,4,436
212,374,47,4,425
213,373,47,4,424
214,372,48,4,424
215,370,48,4,422
216,363,49,5,417
217,360,51,5,416
218,356,53,5,414
219,355,53,5,413
220,353,53,5,411
221,352,52,5,409
222,351,52,5,408
223,338,49,5,392
224,337,49,5,391
225,335,48,5,388
226,336,49,4,389
227,335,49,4,388
228,330,49,4,383
229,324,49,4,377
230,321,51,5,377
231,321,51,5,377
232,319,52,5,376
233,322,52,5,379
234,320,52,5,377
235,318,49,5,372
236,316,48,5,369
237,317,47,5,369
238,314,47,5,366
239,309,48,5,362
240,312,45,5,362
241,310,45,5,360
242,309,45,5,359
243,305,43,5,353
244,305,40,5,350
245,306,40,6,352
246,301,40,6,347
247,300,40,6,346
248,300,39,6,345
249,297,35,6,338
250,295,35,6,336
251,299,33,5,337
252,296,33,5,334
253,294,32,5,331
254,289,31,5,325
255,287,31,5,323
256,286,31,5,322
257,283,32,5,320
258,281,30,5,316
259,281,30,5,316
260,279,32,5,316
261,279,31,5,315
262,275,30,5,310
263,271,28,5,304
264,272,30,5,307
265,271,30,5,306
266,270,30,5,305
