,Position,Edge,Path,Total
0,132,69,29,230
1,132,69,29,230
2,131,68,29,228
3,129,69,29,227
4,128,69,29,226
5,125,72,29,226
6,123,71,28,222
7,129,68,27,224
8,129,68,27,224
9,131,66,26,223
10,132,63,26,221
11,136,61,26,223
12,136,56,26,218
13,135,58,22,215
14,135,57,22,214
15,134,61,22,217
16,129,60,24,213
17,126,62,24,212
18,124,61,24,209
19,123,63,24,210
20,118,63,22,203
21,114,65,21,200
22,107,63,19,189
23,112,59,19,190
24,113,57,19,189
25,111,57,19,187
26,112,56,19,187
27,112,55,21,188
28,108,55,25,188
29,108,51,25,184
30,108,51,26,185
31,103,54,26,183
32,101,54,26,181
33,100,52,26,178
34,98,53,25,176
35,100,51,25,176
36,98,50,25,173
37,96,53,25,174
38,90,54,25,169
39,97,52,25,174
40,93,54,25,172
41,93,54,25,172
42,90,50,24,164
43,87,50,25,162
44,88,49,24,161
45,87,48,24,159
46,81,48,27,156
47,85,44,30,159
48,80,45,29,154
49,78,43,29,150
50,78,43,27,148
51,76,38,27,141
52,76,37,27,140
53,75,37,27,139
54,77,35,27,139
55,76,36,27,139
56,75,36,27,138
57,75,33,29,137
58,79,31,24,134
59,77,32,24,133
60,75,33,26,134
61,74,33,26,133
62,73,31,23,127
63,71,34,22,127
64,66,31,22,119
65,65,32,22,119
66,64,32,22,118
67,64,32,21,117
68,63,32,21,116
69,63,29,21,113
70,62,28,21,111
71,63,28,19,110
72,61,26,19,106
73,59,27,19,105
74,58,27,19,104
75,58,25,19,102
76,57,26,19,102
77,58,25,19,102
78,55,27,19,101
79,57,25,19,101
80,56,25,19,100
81,55,25,19,99
82,56,23,19,98
83,56,25,17,98
84,63,25,11,99
85,62,25,11,98
86,63,21,12,96
87,65,19,12,96
88,60,15,12,87
89,59,14,12,85
90,54,17,12,83
91,53,16,12,81
92,51,16,12,79
93,49,16,12,77
94,48,16,12,76
95,47,16,12,75
96,47,18,11,76
97,47,17,11,75
98,43,15,11,69
99,42,15,11,68
100,41,15,11,67
101,41,14,11,66
102,38,12,9,59
103,37,12,9,58
104,37,13,8,58
105,35,11,9,55
106,34,11,9,54
107,33,12,9,54
108,35,11,9,55
109,33,12,9,54
110,32,12,9,53
111,33,10,9,52
112,33,12,9,54
113,27,13,9,49
114,25,12,9,46
115,26,9,8,43
116,25,7,7,39
117,24,6,7,37
118,21,6,7,34
119,20,6,7,33
120,20,5,7,32
121,19,5,7,31
122,19,5,6,30
123,17,4,6,27
124,17,3,6,26
125,16,3,5,24
126,15,3,5,23
127,14,3,5,22
128,13,3,5,21
129,11,3,5,19
130,12,2,4,18
131,11,2,2,15
132,11,2,2,15
133,10,2,2,14
134,10,1,1,12
135,10,1,0,11
136,9,1,0,10
137,8,1,0,9
138,7,1,0,8
139,6,1,0,7
140,5,1,0,6
141,3,1,0,4
142,3,0,0,3
143,1,0,0,1
144,0,0,0,0
